DECISION_BAND,applicants,default_rate,average_predicted_risk,portfolio_share
Approve,25613,0.026900402139538516,0.22841048739947484,0.4164512300212998
Decline / High Risk,13053,0.20041369800045966,0.7173439801306992,0.21223354958294718
Manual Review,22837,0.07268905723168542,0.4664353993420533,0.37131522039575304
