RISK_BAND,applicants,observed_default_rate,average_model_score,portfolio_share
High Risk,10332,0.22231900890437475,0.7439666740224443,0.16799180527779134
Low Risk,24679,0.02625714169942056,0.22330900362688777,0.40126497894411656
Medium Risk,26492,0.07624943379133323,0.47778160581930956,0.4307432157780921
