Model,Train ROC-AUC,Test ROC-AUC,Test PR-AUC,KS Statistic,Brier Score
Full Unweighted Baseline,0.7499898169778612,0.749514110891989,0.23720443520454113,0.37272943930232627,0.06818261992934664
Reduced Interpretable Model,0.7455310913950051,0.7454957349933741,0.2316708031091772,0.3632507783712347,0.06845741987898711
