feature,coefficient,absolute_coefficient,odds_ratio
missingindicator_BUREAU_INQUIRY_TOTAL,0.3695860921162536,0.3695860921162536,1.4471355098883907
OCCUPATION_TYPE_Security staff,0.35294235495492354,0.35294235495492354,1.4232490978104644
ORGANIZATION_TYPE_Police,-0.3516572905242435,0.3516572905242435,0.7035211840430212
NAME_HOUSING_TYPE_Office apartment,-0.3406910415217746,0.3406910415217746,0.7112786298252985
NAME_INCOME_TYPE_State servant,-0.33316789116458484,0.33316789116458484,0.7166498648744567
TOTAL_MISSING_COUNT,-0.32646108446648914,0.32646108446648914,0.7214724509876577
NAME_INCOME_TYPE_Commercial associate,-0.3263609128492501,0.3263609128492501,0.7215447256697419
OCCUPATION_TYPE_Laborers,0.31295414327547894,0.31295414327547894,1.3674588224072972
ORGANIZATION_TYPE_Transport: type 1,-0.30991780806373703,0.30991780806373703,0.7335072421272412
OCCUPATION_TYPE_HR staff,0.3043772952322921,0.3043772952322921,1.355780489117562
ORGANIZATION_TYPE_Security Ministries,-0.30355877172526896,0.30355877172526896,0.7381865033625101
NAME_EDUCATION_TYPE_Secondary / secondary special,0.3025635198198181,0.3025635198198181,1.353323636564607
ORGANIZATION_TYPE_Industry: type 9,-0.30079881956713245,0.30079881956713245,0.7402266768911824
OCCUPATION_TYPE_IT staff,0.29930073251756434,0.29930073251756434,1.3489152251526877
OCCUPATION_TYPE_Secretaries,0.27359001906698127,0.27359001906698127,1.3146756997654014
NAME_FAMILY_STATUS_Widow,-0.26122760145331786,0.26122760145331786,0.7701056225080066
OCCUPATION_TYPE_Managers,0.26112888479583624,0.26112888479583624,1.29839499802438
NAME_INCOME_TYPE_Unemployed,0.24394560441385196,0.24394560441385196,1.2762749048797115
ORGANIZATION_TYPE_Industry: type 10,-0.24333851694539432,0.24333851694539432,0.7840060695055806
ORGANIZATION_TYPE_University,-0.24265750153514395,0.24265750153514395,0.7845401715658683
ORGANIZATION_TYPE_Cleaning,0.23879130737048643,0.23879130737048643,1.2697135290771295
NAME_INCOME_TYPE_Working,-0.23621383264628454,0.23621383264628454,0.7896118110961483
OCCUPATION_TYPE_Waiters/barmen staff,0.22466170216399148,0.22466170216399148,1.2518991297802153
ORGANIZATION_TYPE_School,-0.2217514913708604,0.2217514913708604,0.8011144234468359
EXT_SOURCE_1,-0.2164811250538121,0.2164811250538121,0.8053477356743879
NAME_CONTRACT_TYPE_Revolving loans,-0.21275033926811213,0.21275033926811213,0.8083579272576621
OCCUPATION_TYPE_Cooking staff,0.20642196436194024,0.20642196436194024,1.22927180346457
ORGANIZATION_TYPE_Construction,0.2061589898161653,0.2061589898161653,1.228948578772216
ORGANIZATION_TYPE_Hotel,-0.19873270656334183,0.19873270656334183,0.8197689829197273
ORGANIZATION_TYPE_Trade: type 1,0.19456549517787258,0.19456549517787258,1.2147830427110815
ORGANIZATION_TYPE_Services,-0.19376233611321736,0.19376233611321736,0.8238536812711247
FLAG_OWN_CAR_Y,-0.19053541018163053,0.19053541018163053,0.8265164901118379
OCCUPATION_TYPE_Cleaning staff,0.18838402298250628,0.18838402298250628,1.2072970561550231
ORGANIZATION_TYPE_Telecom,0.18560301335184765,0.18560301335184765,1.2039442157164744
ORGANIZATION_TYPE_Kindergarten,-0.16719491135653583,0.16719491135653583,0.8460346934957447
GOODS_CREDIT_RATIO,-0.1609811134976725,0.1609811134976725,0.8513081491886624
NAME_EDUCATION_TYPE_Incomplete higher,0.15791053840800537,0.15791053840800537,1.171061425001903
ORGANIZATION_TYPE_Industry: type 7,-0.15608521484865934,0.15608521484865934,0.8554862871303553
REGION_RATING_CLIENT_W_CITY,0.1552124949524172,0.1552124949524172,1.167906108892152
NAME_HOUSING_TYPE_House / apartment,-0.1503589406933461,0.1503589406933461,0.8603990887467263
ORGANIZATION_TYPE_Government,-0.14678835129245038,0.14678835129245038,0.8634767118079417
ORGANIZATION_TYPE_Industry: type 4,-0.1461505631297126,0.1461505631297126,0.8640276026907006
ORGANIZATION_TYPE_Medicine,-0.1439144571035832,0.1439144571035832,0.8659618217733407
ANNUITY_INCOME_RATIO,0.14265303418500888,0.14265303418500888,1.1533295663031056
OCCUPATION_TYPE_Medicine staff,0.14045370049849898,0.14045370049849898,1.1507957970596472
NAME_FAMILY_STATUS_Married,-0.13851214143994528,0.13851214143994528,0.8706526802277124
ORGANIZATION_TYPE_Emergency,-0.1343825751372632,0.1343825751372632,0.8742555321852925
OCCUPATION_TYPE_Sales staff,0.13256336515756412,0.13256336515756412,1.1417513610519776
ORGANIZATION_TYPE_Religion,-0.13170552139287905,0.13170552139287905,0.8765990967558132
NAME_HOUSING_TYPE_With parents,-0.13136720510233402,0.13136720510233402,0.876895714683032
OCCUPATION_TYPE_Core staff,0.13062588797181074,0.13062588797181074,1.1395413854181429
NAME_FAMILY_STATUS_Separated,-0.12958946187356107,0.12958946187356107,0.8784559965815173
missingindicator_EXT_SOURCE_1,0.12777243346186337,0.12777243346186337,1.1362943906916632
NAME_FAMILY_STATUS_Single / not married,-0.12129571823607808,0.12129571823607808,0.8857719819309346
ORGANIZATION_TYPE_Agriculture,0.11556157324261575,0.11556157324261575,1.1225036286087304
ORGANIZATION_TYPE_Self-employed,0.10464279261606374,0.10464279261606374,1.110313927177568
ORGANIZATION_TYPE_Postal,-0.1029772046584766,0.1029772046584766,0.9021475380083612
OCCUPATION_TYPE_Realty agents,0.09823919400748103,0.09823919400748103,1.1032266387520275
DAYS_EMPLOYED_SPECIAL_FLAG,0.09764648180135385,0.09764648180135385,1.1025729366048729
missingindicator_EMPLOYMENT_YEARS,0.09764648180135385,0.09764648180135385,1.1025729366048729
missingindicator_EMPLOYMENT_AGE_RATIO,0.09764648180135385,0.09764648180135385,1.1025729366048729
EMPLOYMENT_YEARS,-0.09738118605414797,0.09738118605414797,0.9072101243672174
EXT_SOURCE_MISSING_COUNT,0.09699932907820788,0.09699932907820788,1.101859634359122
CNT_FAM_MEMBERS,-0.0959308380605991,0.0959308380605991,0.908526849374745
ORGANIZATION_TYPE_Culture,0.0876279269333845,0.0876279269333845,1.0915818982360792
CNT_CHILDREN,0.08390028327771097,0.08390028327771097,1.087520444427667
ORGANIZATION_TYPE_Electricity,-0.0805085187952857,0.0805085187952857,0.922647043708992
CREDIT_INCOME_RATIO,-0.0776477379887341,0.0776477379887341,0.9252903137682577
ORGANIZATION_TYPE_Business Entity Type 1,-0.07656847882049657,0.07656847882049657,0.9262894809058345
ORGANIZATION_TYPE_Other,-0.07592259993139028,0.07592259993139028,0.9268879449736018
REGION_RATING_CLIENT,-0.07546021864214099,0.07546021864214099,0.9273166197145406
ORGANIZATION_TYPE_Trade: type 7,0.06920039618832254,0.06920039618832254,1.0716509423958338
ORGANIZATION_TYPE_Insurance,-0.06455488513598982,0.06455488513598982,0.9374846588770039
ORGANIZATION_TYPE_Industry: type 3,0.06381532575710906,0.06381532575710906,1.0658955371331078
OCCUPATION_TYPE_High skill tech staff,0.06070530378933453,0.06070530378933453,1.0625857280545137
ORGANIZATION_TYPE_Industry: type 1,0.0592089024617474,0.0592089024617474,1.0609968624471644
REGISTRATION_YEARS,-0.05529064032767369,0.05529064032767369,0.9462101011717239
FLAG_OWN_REALTY_Y,0.054483388471747156,0.054483388471747156,1.0559949345783364
ORGANIZATION_TYPE_Transport: type 2,-0.05188846011517161,0.05188846011517161,0.9494347607809506
ORGANIZATION_TYPE_Industry: type 11,-0.05027056431577767,0.05027056431577767,0.9509720905765848
ORGANIZATION_TYPE_Industry: type 2,-0.04920539090353106,0.04920539090353106,0.9519855804386579
ORGANIZATION_TYPE_Housing,-0.04441044128919305,0.04441044128919305,0.9565612646512299
ID_PUBLISH_YEARS,-0.04336015044414541,0.04336015044414541,0.957566459971538
NAME_INCOME_TYPE_Maternity leave,-0.04244999399028354,0.04244999399028354,0.958438392002174
EMPLOYMENT_AGE_RATIO,-0.03967697929492958,0.03967697929492958,0.9610998441653065
missingindicator_ANNUITY_INCOME_RATIO,-0.037505352331139385,0.037505352331139385,0.963189262399143
ORGANIZATION_TYPE_Restaurant,0.03725292337599197,0.03725292337599197,1.037955510853762
NAME_EDUCATION_TYPE_Higher education,0.03221806356579901,0.03221806356579901,1.0327426843048506
OCCUPATION_TYPE_Private service staff,0.03000268376098283,0.03000268376098283,1.0304572994509007
ORGANIZATION_TYPE_Transport: type 4,-0.02739168958461649,0.02739168958461649,0.972980060721111
ORGANIZATION_TYPE_Business Entity Type 3,0.02353909224179021,0.02353909224179021,1.0238183233177824
ORGANIZATION_TYPE_Industry: type 13,0.02297580534547479,0.02297580534547479,1.023241782266304
AGE_YEARS,-0.022411499026518705,0.022411499026518705,0.9778377729588438
missingindicator_CNT_FAM_MEMBERS,-0.0206722079564805,0.0206722079564805,0.9795399973680329
ORGANIZATION_TYPE_Security,-0.013068765637232426,0.013068765637232426,0.9870162598845061
REGION_POPULATION_RELATIVE,0.010734825687674752,0.010734825687674752,1.010792650657373
missingindicator_EXT_SOURCE_2,0.01026723105062423,0.01026723105062423,1.0103201199197847
missingindicator_GOODS_CREDIT_RATIO,0.009495632269916576,0.009495632269916576,1.0095408588242476
ORGANIZATION_TYPE_Mobile,0.008135843690438422,0.008135843690438422,1.0081690296041341
NAME_HOUSING_TYPE_Municipal apartment,0.0071676283445673734,0.0071676283445673734,1.0071933772754358
NAME_HOUSING_TYPE_Rented apartment,-0.00548475367124959,0.00548475367124959,0.9945302601286282
ORGANIZATION_TYPE_Trade: type 3,0.004284441586998842,0.004284441586998842,1.004293632928756
BUREAU_INQUIRY_TOTAL,-0.0038114127194773754,0.0038114127194773754,0.996195841494787
ORGANIZATION_TYPE_Business Entity Type 2,0.0030203762719019124,0.0030203762719019124,1.003024942204101
missingindicator_EXT_SOURCE_3,-0.002219239471926309,0.002219239471926309,0.9977832212193662
NAME_FAMILY_STATUS_Unknown,-9.125681032226204e-05,9.125681032226204e-05,0.9999087473534538
