feature,coefficient,absolute_coefficient,odds_ratio
NAME_INCOME_TYPE_Pensioner,-1.1656038420778074,1.1656038420778074,0.3117343668602852
NAME_INCOME_TYPE_Student,-0.7365692055059091,0.7365692055059091,0.4787536064284155
ORGANIZATION_TYPE_Trade: type 5,-0.6672703219599149,0.6672703219599149,0.5131072855967491
ORGANIZATION_TYPE_Trade: type 4,-0.6632955853822654,0.6632955853822654,0.515150810439148
OCCUPATION_TYPE_Low-skill Laborers,0.6326477856530497,0.6326477856530497,1.8825886771778937
ORGANIZATION_TYPE_Industry: type 12,-0.6269373716979518,0.6269373716979518,0.5342254320555292
NAME_EDUCATION_TYPE_Lower secondary,0.6044985653852549,0.6044985653852549,1.8303341858234152
ORGANIZATION_TYPE_Realtor,0.5847651330858694,0.5847651330858694,1.7945694511504007
NAME_INCOME_TYPE_Unemployed,0.5655596586208289,0.5655596586208289,1.7604327484378817
ORGANIZATION_TYPE_Legal Services,0.5588134340557956,0.5588134340557956,1.7485964438603072
ORGANIZATION_TYPE_Trade: type 6,-0.5371634534779314,0.5371634534779314,0.5844035915158413
ORGANIZATION_TYPE_Military,-0.5180636862503247,0.5180636862503247,0.5956728415225926
EXT_SOURCE_3,-0.5005395845760146,0.5005395845760146,0.6062034734040538
NAME_EDUCATION_TYPE_Secondary / secondary special,0.480547727094756,0.480547727094756,1.6169598123895579
OCCUPATION_TYPE_Drivers,0.47789957029361496,0.47789957029361496,1.6126835139186915
ORGANIZATION_TYPE_Transport: type 1,-0.4678983673929943,0.4678983673929943,0.6263171746702662
ORGANIZATION_TYPE_Transport: type 3,0.42763015615420225,0.42763015615420225,1.5336187766007061
ORGANIZATION_TYPE_XNA,-0.41751937285306917,0.41751937285306917,0.6586787312381513
ORGANIZATION_TYPE_Trade: type 2,-0.398714096478917,0.398714096478917,0.6711825673838567
OCCUPATION_TYPE_Security staff,0.39798562006271154,0.39798562006271154,1.488822620577428
EXT_SOURCE_2,-0.3835424454840338,0.3835424454840338,0.6814431532504168
ORGANIZATION_TYPE_Industry: type 8,0.3498993631573492,0.3498993631573492,1.4189247453014153
ORGANIZATION_TYPE_Security Ministries,-0.34567883593766197,0.34567883593766197,0.7077397511835893
NAME_HOUSING_TYPE_Office apartment,-0.3373120059543633,0.3373120059543633,0.7136861308388815
OCCUPATION_TYPE_Laborers,0.3280846048012904,0.3280846048012904,1.3883064247100159
ORGANIZATION_TYPE_Hotel,-0.32277723983513795,0.32277723983513795,0.7241351448669522
NAME_INCOME_TYPE_Commercial associate,-0.31847161074599817,0.31847161074599817,0.7272597240235462
OCCUPATION_TYPE_HR staff,0.3180356075330577,0.3180356075330577,1.3744252002470103
ORGANIZATION_TYPE_Industry: type 5,-0.31538679801300185,0.31538679801300185,0.7295066479683836
missingindicator_BUREAU_INQUIRY_TOTAL,0.31499905395858835,0.31499905395858835,1.370258014635557
ORGANIZATION_TYPE_Bank,-0.3146312835485201,0.3146312835485201,0.7300580090472679
NAME_INCOME_TYPE_State servant,-0.31107159102538273,0.31107159102538273,0.7326614220092821
ORGANIZATION_TYPE_Industry: type 6,-0.3066107688155544,0.3066107688155544,0.7359369947950829
NAME_EDUCATION_TYPE_Incomplete higher,0.29937662952875516,0.29937662952875516,1.349017607671841
